mean,std,min,max,missing_ratio,negative_ratio,flatline_ratio,saturation_ratio,spike_ratio,physiological_ratio,record,window,start_min,end_min,status,failure_reason
104.4684774866531,23.78624672418619,66.50157766505572,158.95225066900989,0.0,0.0,0.002266666666666667,0.0,0.0,1.0,charis10,3,10.0,15.0,PASS,All criteria met
106.26580161361186,24.186264092717973,66.50157766505572,189.2324359947278,0.0,0.0,0.0027333333333333333,0.0,0.00013334222281485432,1.0,charis10,4,15.0,20.0,PASS,All criteria met
105.54460731450787,24.028799940040486,70.78274154251709,160.45003394975438,0.0,0.0,0.002,0.0,0.0,1.0,charis10,5,20.0,25.0,PASS,All criteria met
106.73259908668504,24.39868942707955,72.39285856931741,160.13799576626593,0.0,0.0,0.0011333333333333334,0.0,0.0,1.0,charis10,6,25.0,30.0,PASS,All criteria met
106.53587773428659,24.71515503177408,71.0198905619683,165.92942445181134,0.0,0.0,0.0017333333333333333,0.0,0.0,1.0,charis10,7,30.0,35.0,PASS,All criteria met
106.00709283593616,24.720642539075424,70.34588808563326,160.35018173103808,0.0,0.0,0.0014666666666666667,0.0,0.0,1.0,charis10,8,35.0,40.0,PASS,All criteria met
106.52299763017402,24.952033723171102,70.87011223389385,162.3971522147222,0.0,0.0,0.002533333333333333,0.0,0.0,1.0,charis10,9,40.0,45.0,PASS,All criteria met
107.08790906125601,25.233223055389878,72.36789551463833,163.39567440188523,0.0,0.0,0.0014,0.0,0.0,1.0,charis10,10,45.0,50.0,PASS,All criteria met
91.16640883922894,24.083261539674268,50.81461439759854,148.7475560323531,0.0,0.0,0.003266666666666667,0.0,0.0,1.0,charis11,1,0.0,5.0,PASS,All criteria met
92.47295135047234,24.298185067286653,49.0349205796077,149.506726122545,0.0,0.0,0.0020666666666666667,0.0,0.0,1.0,charis11,2,5.0,10.0,PASS,All criteria met
94.55089281306537,24.8894636850466,53.61483194338832,152.54340648331257,0.0,0.0,0.0021333333333333334,0.0,0.0,1.0,charis11,3,10.0,15.0,PASS,All criteria met
97.6491256891128,25.539297055576974,52.818325619252555,164.59056463586595,0.0,0.0,0.002533333333333333,0.0,0.0,1.0,charis11,4,15.0,20.0,PASS,All criteria met
101.5520556293292,26.542083168111358,54.90915472010892,161.105849467772,0.0,0.0,0.0022,0.0,0.0,1.0,charis11,5,20.0,25.0,PASS,All criteria met
102.86675320376003,26.946810419258153,54.54823779198491,163.81894913435943,0.0,0.0,0.0018,0.0,0.0,1.0,charis11,6,25.0,30.0,PASS,All criteria met
102.50372968234747,26.986663117799058,53.54015947550059,163.6944950212132,0.0,0.0,0.0015333333333333334,0.0,0.0,1.0,charis11,7,30.0,35.0,PASS,All criteria met
101.98586035335843,26.243056278303218,55.86745139133476,164.13008441722496,0.0,0.0,0.0018,0.0,0.0,1.0,charis11,8,35.0,40.0,PASS,All criteria met
102.51270199421123,25.14113362368809,67.09321239712312,156.89930044343,0.0,0.0,0.002266666666666667,0.0,0.0,1.0,charis11,9,40.0,45.0,PASS,All criteria met
102.50965452782732,24.652721895618424,54.58557402592877,155.92855836088955,0.0,0.0,0.0013333333333333333,0.0,0.0,1.0,charis11,10,45.0,50.0,PASS,All criteria met
98.42236808499212,18.354687205923156,47.46934305849236,145.03882061619714,0.0,0.0,0.001,0.0,0.0,1.0,charis12,1,0.0,5.0,PASS,All criteria met
198.76298761445315,97.88443876590974,-237.74133400856982,360.94458566679054,0.0,0.009266666666666666,0.0156,0.19566666666666666,0.0018001200080005333,0.45886666666666664,charis12,2,5.0,10.0,FAIL,Out of physiological range
97.37619111822887,24.217992810421695,-161.21818797662542,176.8220697093962,0.0,0.0016666666666666668,0.0014666666666666667,6.666666666666667e-05,0.000400026668444563,0.9915333333333334,charis12,3,10.0,15.0,PASS,All criteria met
96.27024476225867,21.43228742333863,66.1972896271182,141.22417302715306,0.0,0.0,0.0019333333333333333,0.0,0.0,1.0,charis12,4,15.0,20.0,PASS,All criteria met
97.14033628091592,18.966507042479485,66.4932536641992,158.11056558727486,0.0,0.0,0.0016,0.0,0.0,1.0,charis12,5,20.0,25.0,PASS,All criteria met
